counter,app,func,end_timestamp,duration,start_timestamp,Year,Month,Weekday Name,func_counts,wait
1751733,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,8e5f533dbf1092f56ac6c7542ef3bdec4661bd442c9b5e7537fabc7b8c03f5a8,1037301.606,0.093,1037301.513,2021,2,Friday,5815,32782
1751734,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,8e5f533dbf1092f56ac6c7542ef3bdec4661bd442c9b5e7537fabc7b8c03f5a8,1037307.146,0.093,1037307.053,2021,2,Friday,5815,5540
1751736,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,8e5f533dbf1092f56ac6c7542ef3bdec4661bd442c9b5e7537fabc7b8c03f5a8,1037315.143,0.093,1037315.05,2021,2,Friday,5815,7997
1751747,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,8e5f533dbf1092f56ac6c7542ef3bdec4661bd442c9b5e7537fabc7b8c03f5a8,1037361.346,0.076,1037361.27,2021,2,Friday,5815,46220
1751750,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,8e5f533dbf1092f56ac6c7542ef3bdec4661bd442c9b5e7537fabc7b8c03f5a8,1037364.669,0.224,1037364.445,2021,2,Friday,5815,3175
1751751,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,8e5f533dbf1092f56ac6c7542ef3bdec4661bd442c9b5e7537fabc7b8c03f5a8,1037373.883,0.093,1037373.79,2021,2,Friday,5815,9345
1751769,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,8e5f533dbf1092f56ac6c7542ef3bdec4661bd442c9b5e7537fabc7b8c03f5a8,1037419.207,0.093,1037419.114,2021,2,Friday,5815,45324
1751770,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,8e5f533dbf1092f56ac6c7542ef3bdec4661bd442c9b5e7537fabc7b8c03f5a8,1037422.263,0.093,1037422.17,2021,2,Friday,5815,3056
1751773,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,8e5f533dbf1092f56ac6c7542ef3bdec4661bd442c9b5e7537fabc7b8c03f5a8,1037449.555,0.093,1037449.462,2021,2,Friday,5815,27292
1751776,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,8e5f533dbf1092f56ac6c7542ef3bdec4661bd442c9b5e7537fabc7b8c03f5a8,1037470.312,0.094,1037470.218,2021,2,Friday,5815,20756
